segment_kpi_id,period_end,fiscal_year,fiscal_quarter,period_type,ticker,kpi_group,segment_name,kpi_name,kpi_value,unit,currency,source_type,source_url,source_accession_number,filed_date,is_reported,is_derived,derivation_method,confidence,notes
segment_kpi_5f53b2602876,2023-10-29,2023,Q4,quarter,NVDA,product_category,Graphics,revenue,3475.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000227/0001045810-23-000227-index.html,0001045810-23-000227,2023-11-21,True,False,,high,Extracted from official SEC filing table.
segment_kpi_335478edafeb,2023-10-29,2023,Q4,quarter,NVDA,end_market,OEM and Other,revenue,73.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000227/0001045810-23-000227-index.html,0001045810-23-000227,2023-11-21,True,False,,high,Extracted from official SEC filing table.
segment_kpi_1606365d7340,2023-10-29,2023,Q4,quarter,NVDA,end_market,Professional Visualization,revenue,416.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000227/0001045810-23-000227-index.html,0001045810-23-000227,2023-11-21,True,False,,high,Extracted from official SEC filing table.
segment_kpi_275db199c201,2023-07-30,2023,Q3,quarter,NVDA,end_market,Automotive,revenue,253.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000175/0001045810-23-000175-index.html,0001045810-23-000175,2023-08-28,True,False,,high,Extracted from official SEC filing table.
segment_kpi_57be1a5f5328,2023-07-30,2023,Q3,quarter,NVDA,product_category,Compute & Networking,revenue,10402.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000175/0001045810-23-000175-index.html,0001045810-23-000175,2023-08-28,True,False,,high,Extracted from official SEC filing table.
segment_kpi_b9d893f28999,2023-07-30,2023,Q3,quarter,NVDA,end_market,Data Center,revenue,10323.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000175/0001045810-23-000175-index.html,0001045810-23-000175,2023-08-28,True,False,,high,Extracted from official SEC filing table.
segment_kpi_f9fa5faab21a,2023-07-30,2023,Q3,quarter,NVDA,end_market,Gaming,revenue,2486.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000175/0001045810-23-000175-index.html,0001045810-23-000175,2023-08-28,True,False,,high,Extracted from official SEC filing table.
segment_kpi_d08b5181f0bc,2023-07-30,2023,Q3,quarter,NVDA,product_category,Graphics,revenue,3105.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000175/0001045810-23-000175-index.html,0001045810-23-000175,2023-08-28,True,False,,high,Extracted from official SEC filing table.
segment_kpi_0fb90016001f,2023-07-30,2023,Q3,quarter,NVDA,end_market,OEM and Other,revenue,66.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000175/0001045810-23-000175-index.html,0001045810-23-000175,2023-08-28,True,False,,high,Extracted from official SEC filing table.
segment_kpi_6041b9af3889,2023-07-30,2023,Q3,quarter,NVDA,end_market,Professional Visualization,revenue,379.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000175/0001045810-23-000175-index.html,0001045810-23-000175,2023-08-28,True,False,,high,Extracted from official SEC filing table.
segment_kpi_58f3fe2cb0dd,2023-04-30,2023,Q2,quarter,NVDA,end_market,Automotive,revenue,296.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000093/0001045810-23-000093-index.html,0001045810-23-000093,2023-05-26,True,False,,high,Extracted from official SEC filing table.
segment_kpi_1897e5f1fb3e,2023-04-30,2023,Q2,quarter,NVDA,product_category,Compute & Networking,revenue,4460.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000093/0001045810-23-000093-index.html,0001045810-23-000093,2023-05-26,True,False,,high,Extracted from official SEC filing table.
segment_kpi_db2290f0823f,2023-04-30,2023,Q2,quarter,NVDA,end_market,Data Center,revenue,4284.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000093/0001045810-23-000093-index.html,0001045810-23-000093,2023-05-26,True,False,,high,Extracted from official SEC filing table.
segment_kpi_06de4802fc9a,2023-04-30,2023,Q2,quarter,NVDA,end_market,Gaming,revenue,2240.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000093/0001045810-23-000093-index.html,0001045810-23-000093,2023-05-26,True,False,,high,Extracted from official SEC filing table.
segment_kpi_d0f4fe51d352,2023-04-30,2023,Q2,quarter,NVDA,product_category,Graphics,revenue,2732.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000093/0001045810-23-000093-index.html,0001045810-23-000093,2023-05-26,True,False,,high,Extracted from official SEC filing table.
segment_kpi_15b10f433c83,2023-04-30,2023,Q2,quarter,NVDA,end_market,OEM and Other,revenue,77.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000093/0001045810-23-000093-index.html,0001045810-23-000093,2023-05-26,True,False,,high,Extracted from official SEC filing table.
segment_kpi_982dc4a50b6c,2023-04-30,2023,Q2,quarter,NVDA,end_market,Professional Visualization,revenue,295.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000093/0001045810-23-000093-index.html,0001045810-23-000093,2023-05-26,True,False,,high,Extracted from official SEC filing table.
segment_kpi_4eeb33ec5601,2023-01-29,2023,Q1,year,NVDA,end_market,Automotive,revenue,903.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/0001045810-23-000017-index.html,0001045810-23-000017,2023-02-24,True,False,,high,Extracted from official SEC filing table.
segment_kpi_62608132a8f6,2023-01-29,2023,Q1,year,NVDA,product_category,Compute & Networking,revenue,15068.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/0001045810-23-000017-index.html,0001045810-23-000017,2023-02-24,True,False,,high,Extracted from official SEC filing table.
segment_kpi_aa75a69ea2f7,2023-01-29,2023,Q1,year,NVDA,end_market,Data Center,revenue,15005.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/0001045810-23-000017-index.html,0001045810-23-000017,2023-02-24,True,False,,high,Extracted from official SEC filing table.
segment_kpi_b38ab0a7e2b9,2023-01-29,2023,Q1,year,NVDA,end_market,Gaming,revenue,9067.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/0001045810-23-000017-index.html,0001045810-23-000017,2023-02-24,True,False,,high,Extracted from official SEC filing table.
