segment_kpi_id,period_end,fiscal_year,fiscal_quarter,period_type,ticker,kpi_group,segment_name,kpi_name,kpi_value,unit,currency,source_type,source_url,source_accession_number,filed_date,is_reported,is_derived,derivation_method,confidence,notes
segment_kpi_f3bf292e72f6,2025-12-31,2025,Q4,year,GOOGL,segment,Google Services,revenue,342721.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/0001652044-26-000018-index.html,0001652044-26-000018,2026-02-05,True,False,,high,Extracted from official SEC filing table.
segment_kpi_60c5be2cafd7,2025-12-31,2025,Q4,year,GOOGL,segment,Google subscriptions platforms and devices,revenue,48030.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/0001652044-26-000018-index.html,0001652044-26-000018,2026-02-05,True,False,,high,Extracted from official SEC filing table.
segment_kpi_b02d8b02e648,2025-12-31,2025,Q4,year,GOOGL,segment,Other Bets,operating_income,-7515.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/0001652044-26-000018-index.html,0001652044-26-000018,2026-02-05,True,False,,high,Extracted from official SEC filing table.
segment_kpi_2dbd49744d2a,2025-12-31,2025,Q4,year,GOOGL,segment,Other Bets,revenue,1537.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/0001652044-26-000018-index.html,0001652044-26-000018,2026-02-05,True,False,,high,Extracted from official SEC filing table.
segment_kpi_9babb43aeea7,2025-12-31,2025,Q4,year,GOOGL,segment,YouTube ads,revenue,40367.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/0001652044-26-000018-index.html,0001652044-26-000018,2026-02-05,True,False,,high,Extracted from official SEC filing table.
segment_kpi_b473ace4a654,2025-09-30,2025,Q3,quarter,GOOGL,segment,Google Cloud,operating_income,3594.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/0001652044-25-000091-index.html,0001652044-25-000091,2025-10-30,True,False,,high,Extracted from official SEC filing table.
segment_kpi_4e73e1f10076,2025-09-30,2025,Q3,quarter,GOOGL,segment,Google Cloud,revenue,15157.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/0001652044-25-000091-index.html,0001652044-25-000091,2025-10-30,True,False,,high,Extracted from official SEC filing table.
segment_kpi_6cf832162a4b,2025-09-30,2025,Q3,quarter,GOOGL,segment,Google Network,revenue,7354.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/0001652044-25-000091-index.html,0001652044-25-000091,2025-10-30,True,False,,high,Extracted from official SEC filing table.
segment_kpi_17af1efddb67,2025-09-30,2025,Q3,quarter,GOOGL,segment,Google Search & other,revenue,56567.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/0001652044-25-000091-index.html,0001652044-25-000091,2025-10-30,True,False,,high,Extracted from official SEC filing table.
segment_kpi_497f2099bac7,2025-09-30,2025,Q3,quarter,GOOGL,segment,Google Services,operating_income,33527.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/0001652044-25-000091-index.html,0001652044-25-000091,2025-10-30,True,False,,high,Extracted from official SEC filing table.
segment_kpi_ae71c4cbe66d,2025-09-30,2025,Q3,quarter,GOOGL,segment,Google Services,revenue,87052.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/0001652044-25-000091-index.html,0001652044-25-000091,2025-10-30,True,False,,high,Extracted from official SEC filing table.
segment_kpi_a689446a618f,2025-09-30,2025,Q3,quarter,GOOGL,segment,Google subscriptions platforms and devices,revenue,12870.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/0001652044-25-000091-index.html,0001652044-25-000091,2025-10-30,True,False,,high,Extracted from official SEC filing table.
segment_kpi_2fb8f2a71088,2025-09-30,2025,Q3,quarter,GOOGL,segment,Other Bets,operating_income,-1426.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/0001652044-25-000091-index.html,0001652044-25-000091,2025-10-30,True,False,,high,Extracted from official SEC filing table.
segment_kpi_0f1d399569d6,2025-09-30,2025,Q3,quarter,GOOGL,segment,Other Bets,revenue,344.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/0001652044-25-000091-index.html,0001652044-25-000091,2025-10-30,True,False,,high,Extracted from official SEC filing table.
segment_kpi_a31691f9fd7b,2025-09-30,2025,Q3,quarter,GOOGL,segment,YouTube ads,revenue,10261.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/0001652044-25-000091-index.html,0001652044-25-000091,2025-10-30,True,False,,high,Extracted from official SEC filing table.
segment_kpi_7878952c5b2a,2025-06-30,2025,Q2,quarter,GOOGL,segment,Google Cloud,operating_income,2826.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/0001652044-25-000062-index.html,0001652044-25-000062,2025-07-24,True,False,,high,Extracted from official SEC filing table.
